00:18:a6,Persistent Systems LLC 
00:d0:38,FIVEMERE LTD. 
00:02:8e,Rapid 5 Networks Inc. 
00:11:15,EPIN Technologies Inc. 
6c:d6:8a,LG Electronics (Mobile Communications) 
00:20:d2,RAD DATA COMMUNICATIONS LTD. 
00:0e:15,Tadlys LTD 
00:24:9c,Bimeng Comunication System Co. Ltd 
00:08:aa,KARAM 
88:23:fe,TTTech Computertechnik AG 
00:13:6b,E-TEC 
00:1e:29,Hypertherm Inc 
a0:dd:e5,SHARP Corporation 
10:4e:07,Shanghai Genvision Industries Co.Ltd 
28:7c:db,Hefei Toycloud Technology Co.ltd 
00:1f:f3,Apple Inc. 
00:23:e5,IPaXiom Networks 
00:17:77,Obsidian Research Corporation 
00:e0:91,LG Electronics 
00:24:15,Magnetic Autocontrol GmbH 
00:1e:54,TOYO ELECTRIC Corporation 
00:07:3c,Telecom Design 
48:51:b7,Intel Corporate 
1c:1f:d4,LifeBEAM Technologies LTD 
4c:0b:be,Microsoft 
00:c0:1a,COROMETRICS MEDICAL SYSTEMS 
00:1f:73,Teraview Technology Co. Ltd. 
00:60:79,Mainstream Data Inc. 
5c:f8:a1,Murata Manufacturing Co. Ltd. 
00:60:95,ACCU-TIME SYSTEMS INC. 
5c:56:ed,3pleplay Electronics Private Limited 
00:17:b6,Aquantia 
00:0c:7a,DaTARIUS Technologies GmbH 
00:17:cb,Juniper Networks 
0c:d2:b5,Binatone Telecommunication Pvt. Ltd 
ac:94:03,Envision Peripherals Inc 
00:18:91,Zhongshan General K-mate Electronics Co. Ltd 
00:19:b0,HanYang System 
00:10:0c,ITO CO. LTD. 
8c:ee:c6,Precepscion Pty. Ltd. 
a8:c8:7f,Roqos Inc. 
dc:de:ca,Akyllor 
00:0c:58,M&S Systems 
00:15:d5,NICEVT 
00:13:1c,LiteTouch Inc. 
00:0e:99,Spectrum Digital Inc 
00:08:99,Netbind Inc. 
68:94:23,Hon Hai Precision Ind. Co.Ltd. 
00:08:77,Liebert-Hiross Spa 
00:01:f7,Image Display Systems Inc. 
64:3f:5f,Exablaze 
c4:f4:64,Spica international 
00:24:e5,Seer Technology Inc 
90:6f:18,Private 
24:c9:a1,Ruckus Wireless 
00:01:a8,Welltech Computer Co. Ltd. 
00:40:a1,ERGO COMPUTING 
00:1f:47,MCS Logic Inc. 
00:0a:10,FAST media integrations AG 
4c:d0:8a,HUMAX Co. Ltd. 
00:0d:6f,Ember Corporation 
00:90:cd,ENT-EMPRESA NACIONAL DE TELECOMMUNICACOES S.A. 
3c:80:aa,Ransnet Singapore Pte Ltd 
b0:3e:b0,MICRODIA Ltd. 
a0:43:db,Sitael S.p.A. 
00:0d:bd,Cisco Systems Inc 
6c:83:66,Nanjing SAC Power Grid Automation Co. Ltd. 
00:1b:a6,intotech inc. 
00:1c:bd,Ezze Mobile Tech. Inc. 
00:1e:81,CNB Technology Inc. 
1c:97:3d,PRICOM Design 
00:95:69,LSD Science and Technology Co.Ltd. 
7c:8d:91,Shanghai Hongzhuo Information Technology co.LTD 
00:d0:c0,Cisco Systems Inc 
00:0c:f5,InfoExpress 
00:08:1b,Windigo Systems 
c0:4a:00,TP-LINK TECHNOLOGIES CO.LTD. 
00:1e:ad,Wingtech Group Limited 
00:05:a5,KOTT 
5c:da:d4,Murata Manufacturing Co. Ltd. 
94:a7:bc,BodyMedia Inc. 
2c:4d:54,ASUSTek COMPUTER INC. 
f8:b7:e2,Cisco Systems Inc 
00:00:43,MICRO TECHNOLOGY 
cc:f9:57,u-blox AG 
68:57:2d,HANGZHOU AIXIANGJI TECHNOLOGY CO. LTD 
00:a0:0a,Airspan 
